,Book,Author(s),Original language,First published,Approximate sales,Genre
0,"The Lion, the Witch and the Wardrobe",C.S. Lewis,English,1950,85 million,"Fantasy, children's fiction"
1,She: A History of Adventure,H. Rider Haggard,English,1887,83 million,Adventure
2,The Da Vinci Code,Dan Brown,English,2003,80 million,Mystery thriller
3,Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77 million,"Fantasy, children's fiction"
4,The Catcher in the Rye,J. D. Salinger,English,1951,65 million,Coming-of-age
5,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65 million,"Fantasy, children's fiction"
6,Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65 million,"Fantasy, children's fiction"
7,Harry Potter and the Order of Phoenix,J. K. Rowling,English,2003,65 million,"Fantasy, children's fiction"
8,Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65 million,"Fantasy, children's fiction"
9,Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65 million,"Fantasy, children's fiction"
10,The Bridges of Madison County,Robert James Waller,English,1992,60 million,Romance
11,One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50 million,Magic realism
12,Lolita,Vladimir Nabokov,English,1955,50 million,Novel
13,Heidi,Johanna Spyri,German,1880,50 million,Children's fiction
14,The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50 million,Manual
15,Anne of Green Gables,Lucy Maud Montgomery,English,1908,50 million,Children's novel
16,Black Beauty,Anna Sewell,English,1877,50 million,Children's literature
17,The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50 million,"Historical novel, mystery"
18,The Eagle Has Landed,Jack Higgins,English,1975,50 million,"War, thriller"
19,Watership Down,Richard Adams,English,1972,50 million,Fantasy
20,The Hite Report,Shere Hite,English,1976,50 million,Sexology
21,Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50 million,Children's fiction
22,The Ginger Man,J. P. Donleavy,English,1955,50 million,Novel
23,The Purpose Driven Life,Rick Warren,English,2002,50 million,Philosophical Manual
24,The Tale of Peter Rabbit,Beatrix Potter,English,1902,45 million,Children's literature
25,Jonathan Livingston Seagull,Richard Bach,English,1970,44 million,"Novella, self-help"
26,The Very Hungry Caterpillar,Eric Carle,English,1969,43 million,"Children's literature, picture book"
27,A Message to Garcia,Elbert Hubbard,English,1899,40 million,Essay/literature
28,To Kill a Mockingbird,Harper Lee,English,1960,40 million,"Southern Gothic, Bildungsroman"
29,Flowers in the Attic,V. C. Andrews,English,1979,40 million,"Gothic horror, family saga"
30,Cosmos,Carl Sagan,English,1980,40 million,"Popular science, anthropology, astrophysics, cosmology, philosophy, history"
31,Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40 million,"Philosophical novel, Young adult"
32,Angels & Demons,Dan Brown,English,2000,39 million,mystery-thriller
33,Alcoholics Anonymous,William Griffith Wilson,English,1939,over 37 million,Self-help
34,Kane and Abel,Jeffrey Archer,English,1979,37 million,Novel
35,How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,Russian,1932,36.4 million copies in USSR,Socialist realist novel
36,War and Peace (Война и мир),Leo Tolstoy,Russian,1869,36 million copies in Russia,Historical novel
37,The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35 million,"Fantasy, children's fiction"
38,The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35 million,"Historical non-fiction, autobiography, memoir, bildungsroman / coming of age, Jewish literature"
39,Your Erroneous Zones,Wayne Dyer,English,1976,35 million,Self-help
40,The Thorn Birds,Colleen McCullough,English,1977,33 million,Romantic family saga
41,The Kite Runner,Khaled Hosseini,English,2003,31.5 million,"Bildungsroman, historical fiction"
42,Valley of the Dolls,Jacqueline Susann,English,1966,31 million,Novel
43,How to Win Friends and Influence People,Dale Carnegie,English,1936,Over 30 million,Self-help
44,The Great Gatsby,F. Scott Fitzgerald,English,1925,"30 million (""around"")","Novel, tragedy"
45,Gone with the Wind,Margaret Mitchell,English,1936,30 million (est.),Historical fiction
46,Rebecca,Daphne du Maurier,English,1938,30 million (est.),Gothic novel
47,The Revolt of Mamie Stover,William Bradford Huie,English,1951,30 million,Fiction
48,The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30 million,Fiction
49,The Lost Symbol,Dan Brown,English,2009,30 million,Fiction
50,The Hunger Games,Suzanne Collins,English,2008,29 million in US,Young adult fiction
51,James and the Giant Peach,Roald Dahl,English,1961,28 million,Children's novel
52,The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,1945,26 million copies in USSR,Young adult historical novel
53,Who Moved My Cheese?,Spencer Johnson,English,1998,28,"Self-help, motivational, business fable, psychology, leadership, parable"
54,A Brief History of Time,Stephen Hawking,English,1988,25 million,Popular science
55,Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25 million,Novel
56,Lust for Life,Irving Stone,English,1934,25 million,Biographical novel
57,The Wind in the Willows,Kenneth Grahame,English,1908,25 million,Children's literature
58,The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25 million,Self-help
59,Totto-Chan: The Little Girl at the Window (窓ぎわのトットちゃん),Tetsuko Kuroyanagi,Japanese,1981,25 million,Autobiographical novel
60,Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,Russian,1935,24 million copies in USSR,Novel
61,The Celestine Prophecy,James Redfield,English,1993,23 million,New-age spiritual novel
62,The Fault in Our Stars,John Green,English,2012,23 million,Young adult romantic novel
63,The Girl on the Train,Paula Hawkins,English,2015,23 million,Thriller
64,The Shack,William P. Young,English,2007,22.5 million,Novel
